Dataenergy_production_total.csv
,
3
year,country,rate
1960,Albania,
1961,Albania,
1962,Albania,
1963,Albania,
1964,Albania,
1965,Albania,
1966,Albania,
1967,Albania,
1968,Albania,
1969,Albania,
1970,Albania,
1971,Albania,2420
1972,Albania,2960
1973,Albania,3000
1974,Albania,2710
1975,Albania,2910
1976,Albania,3080
1977,Albania,3170
1978,Albania,3480
1979,Albania,3390
1980,Albania,3430
1981,Albania,2690
1982,Albania,2650
1983,Albania,2810
1984,Albania,3010
1985,Albania,2810
1986,Albania,3000
1987,Albania,2900
1988,Albania,2890
1989,Albania,2900
1990,Albania,2450
1991,Albania,1920
1992,Albania,1400
1993,Albania,1330
1994,Albania,1280
1995,Albania,1240
1996,Albania,1330
1997,Albania,1100
1998,Albania,1090
1999,Albania,1070
2000,Albania,986
2001,Albania,883
2002,Albania,959
2003,Albania,1050
2004,Albania,1150
2005,Albania,1170
2006,Albania,1190
2007,Albania,1060
2008,Albania,1150
2009,Albania,1250
1960,Algeria,
1961,Algeria,
1962,Algeria,
1963,Algeria,
1964,Algeria,
1965,Algeria,
1966,Algeria,
1967,Algeria,
1968,Algeria,
1969,Algeria,
1970,Algeria,
1971,Algeria,41500
1972,Algeria,54700
1973,Algeria,56500
1974,Algeria,53300
1975,Algeria,53000
1976,Algeria,58800
1977,Algeria,62100
1978,Algeria,69500
1979,Algeria,75800
1980,Algeria,65700
1981,Algeria,67200
1982,Algeria,67300
1983,Algeria,74100
1984,Algeria,77000
1985,Algeria,80800
1986,Algeria,84100
1987,Algeria,88800
1988,Algeria,91000
1989,Algeria,94800
1990,Algeria,100000
1991,Algeria,103000
1992,Algeria,104000
1993,Algeria,105000
1994,Algeria,101000
1995,Algeria,107000
1996,Algeria,113000
1997,Algeria,122000
1998,Algeria,127000
1999,Algeria,137000
2000,Algeria,142000
2001,Algeria,137000
2002,Algeria,143000
2003,Algeria,155000
2004,Algeria,158000
2005,Algeria,167000
2006,Algeria,165000
2007,Algeria,164000
2008,Algeria,162000
2009,Algeria,152000
1960,Angola,
1961,Angola,
1962,Angola,
1963,Angola,
1964,Angola,
1965,Angola,
1966,Angola,
1967,Angola,
1968,Angola,
1969,Angola,
1970,Angola,
1971,Angola,9120
1972,Angola,10500
1973,Angola,11700
1974,Angola,12100
1975,Angola,11400
1976,Angola,11200
1977,Angola,10700
1978,Angola,10200
1979,Angola,11000
1980,Angola,11300
1981,Angola,10300
1982,Angola,10400
1983,Angola,12900
1984,Angola,14300
1985,Angola,15700
1986,Angola,18300
1987,Angola,22300
1988,Angola,27100
1989,Angola,27200
1990,Angola,28700
1991,Angola,30000
1992,Angola,32800
1993,Angola,30500
1994,Angola,33000
1995,Angola,36400
1996,Angola,39800
1997,Angola,41600
1998,Angola,43000
1999,Angola,43600
2000,Angola,43700
2001,Angola,43500
2002,Angola,51400
2003,Angola,51400
2004,Angola,57600
2005,Angola,70900
2006,Angola,80000
2007,Angola,95100
2008,Angola,106000
2009,Angola,101000
1960,Argentina,
1961,Argentina,
1962,Argentina,
1963,Argentina,
1964,Argentina,
1965,Argentina,
1966,Argentina,
1967,Argentina,
1968,Argentina,
1969,Argentina,
1970,Argentina,
1971,Argentina,30600
1972,Argentina,31000
1973,Argentina,30500
1974,Argentina,30900
1975,Argentina,30600
1976,Argentina,31000
1977,Argentina,32700
1978,Argentina,33900
1979,Argentina,36400
1980,Argentina,38800
1981,Argentina,39500
1982,Argentina,40000
1983,Argentina,42000
1984,Argentina,42900
1985,Argentina,42600
1986,Argentina,42900
1987,Argentina,43300
1988,Argentina,46300
1989,Argentina,47200
1990,Argentina,48400
1991,Argentina,50200
1992,Argentina,54300
1993,Argentina,57000
1994,Argentina,62400
1995,Argentina,66900
1996,Argentina,72000
1997,Argentina,77500
1998,Argentina,79700
1999,Argentina,80100
2000,Argentina,82300
2001,Argentina,84500
2002,Argentina,81300
2003,Argentina,84300
2004,Argentina,87100
2005,Argentina,84700
2006,Argentina,86200
2007,Argentina,82900
2008,Argentina,82900
2009,Argentina,80800
1960,Armenia,
1961,Armenia,
1962,Armenia,
1963,Armenia,
1964,Armenia,
1965,Armenia,
1966,Armenia,
1967,Armenia,
1968,Armenia,
1969,Armenia,
1970,Armenia,
1971,Armenia,
1972,Armenia,
1973,Armenia,
1974,Armenia,
1975,Armenia,
1976,Armenia,
1977,Armenia,
1978,Armenia,
1979,Armenia,
1980,Armenia,
1981,Armenia,
1982,Armenia,
1983,Armenia,
1984,Armenia,
1985,Armenia,
1986,Armenia,
1987,Armenia,
1988,Armenia,
1989,Armenia,
1990,Armenia,137
1991,Armenia,135
1992,Armenia,263
1993,Armenia,370
1994,Armenia,303
1995,Armenia,245
1996,Armenia,742
1997,Armenia,539
1998,Armenia,547
1999,Armenia,646
2000,Armenia,632
2001,Armenia,602
2002,Armenia,738
2003,Armenia,692
2004,Armenia,746
2005,Armenia,861
2006,Armenia,846
2007,Armenia,826
2008,Armenia,797
2009,Armenia,825
1960,Australia,21300
1961,Australia,22500
1962,Australia,22900
1963,Australia,23600
1964,Australia,25400
1965,Australia,28300
1966,Australia,29600
1967,Australia,31200
1968,Australia,35300
1969,Australia,38700
1970,Australia,47700
1971,Australia,53900
1972,Australia,62400
1973,Australia,68000
1974,Australia,67500
1975,Australia,75000
1976,Australia,75300
1977,Australia,82300
1978,Australia,81600
1979,Australia,86500
1980,Australia,85400
1981,Australia,97200
1982,Australia,98600
1983,Australia,107000
1984,Australia,118000
1985,Australia,128000
1986,Australia,137000
1987,Australia,149000
1988,Australia,137000
1989,Australia,145000
1990,Australia,158000
1991,Australia,167000
1992,Australia,172000
1993,Australia,175000
1994,Australia,174000
1995,Australia,187000
1996,Australia,190000
1997,Australia,201000
1998,Australia,217000
1999,Australia,214000
2000,Australia,234000
2001,Australia,254000
2002,Australia,264000
2003,Australia,264000
2004,Australia,269000
2005,Australia,280000
2006,Australia,282000
2007,Australia,299000
2008,Australia,301000
2009,Australia,311000
2010,Australia,324000
1960,Austria,7360
1961,Austria,7120
1962,Austria,7290
1963,Austria,7750
1964,Austria,7700
1965,Austria,8000
1966,Austria,8150
1967,Austria,7790
1968,Austria,7560
1969,Austria,7360
1970,Austria,7950
1971,Austria,7370
1972,Austria,7330
1973,Austria,7920
1974,Austria,7820
1975,Austria,7810
1976,Austria,7240
1977,Austria,7670
1978,Austria,7830
1979,Austria,8010
1980,Austria,7630
1981,Austria,7410
1982,Austria,7490
1983,Austria,7300
1984,Austria,7350
1985,Austria,7560
1986,Austria,7660
1987,Austria,8060
1988,Austria,9190
1989,Austria,8620
1990,Austria,8110
1991,Austria,8350
1992,Austria,8560
1993,Austria,8770
1994,Austria,8400
1995,Austria,8740
1996,Austria,8630
1997,Austria,8710
1998,Austria,8880
1999,Austria,9720
2000,Austria,9780
2001,Austria,9780
2002,Austria,9820
2003,Austria,9600
2004,Austria,9900
2005,Austria,10100
2006,Austria,10100
2007,Austria,10900
2008,Austria,11200
2009,Austria,11400
2010,Austria,11200
1960,Azerbaijan,
1961,Azerbaijan,
1962,Azerbaijan,
1963,Azerbaijan,
1964,Azerbaijan,
1965,Azerbaijan,
1966,Azerbaijan,
1967,Azerbaijan,
1968,Azerbaijan,
1969,Azerbaijan,
1970,Azerbaijan,
1971,Azerbaijan,
1972,Azerbaijan,
1973,Azerbaijan,
1974,Azerbaijan,
1975,Azerbaijan,
1976,Azerbaijan,
1977,Azerbaijan,
1978,Azerbaijan,
1979,Azerbaijan,
1980,Azerbaijan,
