country rate year 
Afghanistan 7.45 1961 
Afghanistan 7.45 1962 
Afghanistan 7.45 1963 
Afghanistan 7.45 1964 
Afghanistan 7.45 1965 
Afghanistan 7.45 1966 
Afghanistan 7.45 1967 
Afghanistan 7.45 1968 
Afghanistan 7.45 1969 
Afghanistan 7.45 1970 
Afghanistan 7.45 1971 
Albania 6.4 1961 
Albania 6.28 1962 
Albania 6.13 1963 
Albania 5.96 1964 
Albania 5.77 1965 
Albania 5.58 1966 
Albania 5.39 1967 
Albania 5.22 1968 
Albania 5.06 1969 
Albania 4.91 1970 
Albania 4.78 1971 
Algeria 7.57 1961 
Algeria 7.61 1962 
Algeria 7.65 1963 
Algeria 7.67 1964 
Algeria 7.68 1965 
Algeria 7.68 1966 
Algeria 7.67 1967 
Algeria 7.67 1968 
Algeria 7.66 1969 
Algeria 7.64 1970 
Algeria 7.62 1971 
Angola 7.52 1961 
Angola 7.56 1962 
Angola 7.59 1963 
Angola 7.61 1964 
Angola 7.62 1965 
Angola 7.62 1966 
Angola 7.61 1967 
Angola 7.61 1968 
Angola 7.6 1969 
Angola 7.6 1970 
Angola 7.6 1971 
Antigua and Barbuda 4.39 1961 
Antigua and Barbuda 4.34 1962 
Antigua and Barbuda 4.3 1963 
Antigua and Barbuda 4.25 1964 
Antigua and Barbuda 4.19 1965 
Antigua and Barbuda 4.13 1966 
Antigua and Barbuda 4.04 1967 
Antigua and Barbuda 3.94 1968 
Antigua and Barbuda 3.82 1969 
Antigua and Barbuda 3.68 1970 
Antigua and Barbuda 3.52 1971 
Argentina 3.1 1961 
Argentina 3.09 1962 
Argentina 3.08 1963 
Argentina 3.07 1964 
Argentina 3.06 1965 
Argentina 3.05 1966 
Argentina 3.05 1967 
Argentina 3.05 1968 
Argentina 3.06 1969 
Argentina 3.07 1970 
Argentina 3.1 1971 
Armenia 4.51 1961 
Armenia 4.44 1962 
Armenia 4.32 1963 
Armenia 4.16 1964 
Armenia 3.98 1965 
Armenia 3.79 1966 
Armenia 3.61 1967 
Armenia 3.45 1968 
Armenia 3.31 1969 
Armenia 3.21 1970 
