country rate year 
Afghanistan 2 1961 
Afghanistan 2 1962 
Afghanistan 2 1963 
Afghanistan 2 1964 
Afghanistan 2 1965 
Afghanistan 2 1966 
Afghanistan 2 1967 
Afghanistan 2 1968 
Afghanistan 2 1969 
Afghanistan 2 1970 
Afghanistan 2 1971 
Albania 2 1961 
Albania 2 1962 
Albania 2 1963 
Albania 2 1964 
Albania 2 1965 
Albania 2 1966 
Albania 2 1967 
Albania 2 1968 
Albania 2 1969 
Albania 2 1970 
Albania 2 1971 
Algeria 2 1961 
Algeria 2 1962 
Algeria 2 1963 
Algeria 2 1964 
Algeria 2 1965 
Algeria 2 1966 
Algeria 2 1967 
Algeria 2 1968 
Algeria 2 1969 
Algeria 2 1970 
Algeria 2 1971 
Angola 2 1961 
Angola 2 1962 
Angola 2 1963 
Angola 2 1964 
Angola 2 1965 
Angola 2 1966 
Angola 2 1967 
Angola 2 1968 
Angola 2 1969 
Angola 2 1970 
Angola 2 1971 
Antigua and Barbuda 2 1961 
Antigua and Barbuda 2 1962 
Antigua and Barbuda 2 1963 
Antigua and Barbuda 2 1964 
Antigua and Barbuda 2 1965 
Antigua and Barbuda 2 1966 
Antigua and Barbuda 2 1967 
Antigua and Barbuda 2 1968 
Antigua and Barbuda 2 1969 
Antigua and Barbuda 2 1970 
Antigua and Barbuda 2 1971 
Argentina 2 1961 
Argentina 2 1962 
Argentina 2 1963 
Argentina 2 1964 
Argentina 2 1965 
Argentina 2 1966 
Argentina 2 1967 
Argentina 2 1968 
Argentina 2 1969 
Argentina 2 1970 
Argentina 2 1971 
Armenia 2 1961 
Armenia 2 1962 
Armenia 2 1963 
Armenia 2 1964 
Armenia 2 1965 
Armenia 2 1966 
Armenia 2 1967 
Armenia 2 1968 
Armenia 2 1969 
Armenia 2 1970 
Armenia 2 1971 
Australia 1 1961 
Australia 1 1962 
Australia 1 1963 
Australia 1 1964 
Australia 1 1965 
Australia 1 1966 
Australia 1 1967 
Australia 1 1968 
Australia 1 1969 
Australia 1 1970 
Australia 1 1971 
Austria 1 1961 
Austria 1 1962 
Austria 1 1963 
Austria 1 1964 
Austria 1 1965 
Austria 1 1966 
Austria 1 1967 
Austria 1 1968 
Austria 1 1969 
Austria 1 1970 
Austria 1 1971 
Azerbaijan 2 1961 
Azerbaijan 2 1962 
Azerbaijan 2 1963 
Azerbaijan 2 1964 
Azerbaijan 2 1965 
Azerbaijan 2 1966 
Azerbaijan 2 1967 
Azerbaijan 2 1968 
Azerbaijan 2 1969 
Azerbaijan 2 1970 
Azerbaijan 2 1971 
Bahamas 2 1961 
Bahamas 2 1962 
Bahamas 2 1963 
Bahamas 2 1964 
Bahamas 2 1965 
Bahamas 2 1966 
Bahamas 2 1967 
Bahamas 2 1968 
Bahamas 2 1969 
Bahamas 2 1970 
Bahamas 2 1971 
Bahrain 2 1961 
Bahrain 2 1962 
Bahrain 2 1963 
Bahrain 2 1964 
Bahrain 2 1965 
Bahrain 2 1966 
Bahrain 2 1967 
Bahrain 2 1968 
Bahrain 2 1969 
Bahrain 2 1970 
Bahrain 2 1971 
Bangladesh 2 1961 
Bangladesh 2 1962 
Bangladesh 2 1963 
Bangladesh 2 1964 
Bangladesh 2 1965 
Bangladesh 2 1966 
Bangladesh 2 1967 
Bangladesh 2 1968 
Bangladesh 2 1969 
Bangladesh 2 1970 
Bangladesh 2 1971 
Barbados 2 1961 
Barbados 2 1962 
Barbados 2 1963 
Barbados 2 1964 
Barbados 2 1965 
Barbados 2 1966 
Barbados 2 1967 
Barbados 2 1968 
Barbados 2 1969 
Barbados 2 1970 
Barbados 2 1971 
Belarus 1 1961 
Belarus 1 1962 
Belarus 1 1963 
Belarus 1 1964 
Belarus 1 1965 
Belarus 1 1966 
Belarus 1 1967 
Belarus 1 1968 
Belarus 1 1969 
Belarus 1 1970 
Belarus 1 1971 
Belgium 1 1961 
Belgium 1 1962 
Belgium 1 1963 
Belgium 1 1964 
Belgium 1 1965 
Belgium 1 1966 
Belgium 1 1967 
Belgium 1 1968 
Belgium 1 1969 
Belgium 1 1970 
Belgium 1 1971 
Belize 2 1961 
Belize 2 1962 
Belize 2 1963 
Belize 2 1964 
Belize 2 1965 
Belize 2 1966 
Belize 2 1967 
Belize 2 1968 
Belize 2 1969 
Belize 2 1970 
Belize 2 1971 
Benin 2 1961 
Benin 2 1962 
Benin 2 1963 
Benin 2 1964 
Benin 2 1965 
Benin 2 1966 
Benin 2 1967 
Benin 2 1968 
