rate country 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
3 Niger 
3 Niger 
3 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
4 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
2 Niger 
4 Niger 
4 Niger 
